adoptaba	adoptabais
alcanzaba	alcanzabais
aprovechaba	aprovechabais
asistía	asistíais
averiguaba	averiguabais
bailaba	bailabais
bebía	bebíais
buscaba	buscabais
comprobaba	comprobabais
concluía	concluíais
conducía	conducíais
consistía	consistíais
contenía	conteníais
cortaba	cortabais
cumplía	cumplíais
decidía	decidíais
defendía	defendíais
disfrutaba	disfrutabais
ejercía	ejercíais
estudiaba	estudiabais
evadía	evadíais
existía	existíais
expresaba	expresabais
fallaba	fallabais
financiaba	financiabais
formulaba	formulabais
fortalecía	fortalecíais
garantizaba	garantizabais
hablaba	hablabais
imaginaba	imaginabais
indicaba	indicabais
intentaba	intentabais
iba	ibais
llegaba	llegabais
lograba	lograbais
necesitaba	necesitabais
ocurría	ocurríais
olvidaba	olvidabais
operaba	operabais
promovía	promovíais
quedaba	quedabais
reconocía	reconocíais
reducía	reducíais
reemplazaba	reemplazabais
resolvía	resolvíais
salvaba	salvabais
seguía	seguíais
soportaba	soportabais
viajaba	viajabais
votaba	votabais
