alcanzaba	alcanzó
asistía	asistió
añadía	añadió
caía	cayó
cerraba	cerró
completaba	completó
compraba	compró
consistía	consistió
consolidaba	consolidó
consultaba	consultó
contenía	contuvo
daba	dio
defendía	defendió
discutía	discutió
elegía	eligió
enseñaba	enseñó
entraba	entró
evaluaba	evaluó
examinaba	examinó
facilitaba	facilitó
fomentaba	fomentó
funcionaba	funcionó
guardaba	guardó
implicaba	implicó
informaba	informó
iniciaba	inició
integraba	integró
intentaba	intentó
invertía	invirtió
iba	fue
limitaba	limitó
lloraba	lloró
localizaba	localizó
manejaba	manejó
mencionaba	mencionó
modificaba	modificó
moría	murió
ofrecía	ofreció
permanecía	permaneció
prestaba	prestó
prevenía	previno
recibía	recibió
reforzaba	reforzó
relacionaba	relacionó
respetaba	respetó
salía	salió
salvaba	salvó
trabajaba	trabajó
traía	trajo
usaba	usó
