abandonábamos	abandonaréis
alentábamos	alentaréis
anunciábamos	anunciaréis
aprovechábamos	aprovecharéis
asistíamos	asistiréis
caíamos	caeréis
compartíamos	compartiréis
concluíamos	concluiréis
conducíamos	conduciréis
cooperábamos	cooperaréis
crecíamos	creceréis
defendíamos	defenderéis
desarrollábamos	desarrollaréis
determinábamos	determinaréis
discutíamos	discutiréis
encontrábamos	encontraréis
enseñábamos	enseñaréis
escapábamos	escaparéis
existíamos	existiréis
explicábamos	explicaréis
facilitábamos	facilitaréis
fallábamos	fallaréis
ganábamos	ganaréis
identificábamos	identificaréis
iniciábamos	iniciaréis
integrábamos	integraréis
intentábamos	intentaréis
íbamos	iréis
leíamos	leeréis
llegábamos	llegaréis
localizábamos	localizaréis
matábamos	mataréis
necesitábamos	necesitaréis
operábamos	operaréis
publicábamos	publicaréis
recibíamos	recibiréis
reconocíamos	reconoceréis
recordábamos	recordaréis
reducíamos	reduciréis
reforzábamos	reforzaréis
respetábamos	respetaréis
sacábamos	sacaréis
seleccionábamos	seleccionaréis
éramos	seréis
sobrevivíamos	sobreviviréis
solicitábamos	solicitaréis
supervisábamos	supervisaréis
tratábamos	trataréis
veíamos	veréis
votábamos	votaréis
