abandona	abandonan
aborda	abordan
adquiere	adquieren
alcanza	alcanzan
asegura	aseguran
asume	asumen
aumenta	aumentan
bebe	beben
comienza	comienzan
comparte	comparten
consigue	consiguen
consiste	consisten
continúa	continúan
contribuye	contribuyen
crea	crean
crece	crecen
cumple	cumplen
da	dan
desarrolla	desarrollan
descarga	descargan
describe	describen
escribe	escriben
espera	esperan
examina	examinan
expresa	expresan
guarda	guardan
hace	hacen
impide	impiden
implica	implican
incorpora	incorporan
informa	informan
investiga	investigan
lucha	luchan
mejora	mejoran
muere	mueren
mueve	mueven
paga	pagan
participa	participan
preserva	preservan
prueba	prueban
publica	publican
reconoce	reconocen
responde	responden
saca	sacan
sigue	siguen
supervisa	supervisan
tiene	tienen
toca	tocan
une	unen
vive	viven
