aceleraréis	acelerarán
actuaréis	actuarán
aprenderéis	aprenderán
aprobaréis	aprobarán
caeréis	caerán
cantaréis	cantarán
conoceréis	conocerán
consistiréis	consistirán
crearéis	crearán
cubriréis	cubrirán
demostraréis	demostrarán
describiréis	describirán
descubriréis	descubrirán
disfrutaréis	disfrutarán
dormiréis	dormirán
encontraréis	encontrarán
enfrentaréis	enfrentarán
entenderéis	entenderán
escribiréis	escribirán
estaréis	estarán
existiréis	existirán
fomentaréis	fomentarán
funcionaréis	funcionarán
ganaréis	ganarán
habilitaréis	habilitarán
implicaréis	implicarán
impondréis	impondrán
iniciaréis	iniciarán
limitaréis	limitarán
llegaréis	llegarán
lograréis	lograrán
observaréis	observarán
preservaréis	preservarán
probaréis	probarán
promocionaréis	promocionarán
propondréis	propondrán
relacionaréis	relacionarán
robaréis	robarán
romperéis	romperán
satisfaréis	satisfarán
serviréis	servirán
señalaréis	señalarán
sufriréis	sufrirán
sumaréis	sumarán
terminaréis	terminarán
trataréis	tratarán
usaréis	usarán
viajaréis	viajarán
viviréis	vivirán
volaréis	volarán
