aplicado	aplicamos
aprendido	aprendemos
asegurado	aseguramos
asistido	asistimos
añadido	añadimos
bebido	bebemos
comprobado	comprobamos
conseguido	conseguimos
construido	construimos
contado	contamos
contenido	contenemos
cubierto	cubrimos
cuidado	cuidamos
decidido	decidimos
descargado	descargamos
descubierto	descubrimos
destacado	destacamos
dormido	dormimos
ejecutado	ejecutamos
elaborado	elaboramos
eliminado	eliminamos
enviado	enviamos
escrito	escribimos
estudiado	estudiamos
gestionado	gestionamos
hecho	hacemos
integrado	integramos
leído	leemos
limitado	limitamos
matado	matamos
muerto	morimos
oído	oímos
participado	participamos
partido	partimos
pedido	pedimos
preguntado	preguntamos
prevenido	prevenimos
proporcionado	proporcionamos
realizado	realizamos
recibido	recibimos
reforzado	reforzamos
regresado	regresamos
respondido	respondemos
revisado	revisamos
roto	rompemos
soportado	soportamos
trabajado	trabajamos
traído	traemos
verificado	verificamos
volado	volamos
