abordar	abordan
abrir	abren
adoptar	adoptan
alentar	alientan
analizar	analizan
animar	animan
anunciar	anuncian
apoyar	apoyan
asegurar	aseguran
atender	atienden
aumentar	aumentan
caer	caen
dar	dan
definir	definen
depender	dependen
designar	designan
destacar	destacan
ejecutar	ejecutan
enviar	envían
estudiar	estudian
gastar	gastan
invertir	invierten
ir	van
llorar	lloran
localizar	localizan
lograr	logran
matar	matan
mirar	miran
necesitar	necesitan
olvidar	olvidan
oír	oyen
preguntar	preguntan
preparar	preparan
presentar	presentan
probar	prueban
proteger	protegen
recoger	recogen
referir	refieren
relacionar	relacionan
sentar	sientan
soportar	soportan
tocar	tocan
trabajar	trabajan
unir	unen
usar	usan
utilizar	utilizan
venir	vienen
viajar	viajan
volar	vuelan
volver	vuelven
