acelerando	acelera
aceptando	acepta
adquiriendo	adquiere
aprendiendo	aprende
asistiendo	asiste
ayudando	ayuda
añadiendo	añade
celebrando	celebra
comiendo	come
comprendiendo	comprende
consultando	consulta
continuando	continúa
creando	crea
dando	da
destacando	destaca
dirigiendo	dirige
disfrutando	disfruta
ejerciendo	ejerce
elaborando	elabora
eliminando	elimina
escuchando	escucha
evadiendo	evade
facilitando	facilita
formando	forma
ganando	gana
gestionando	gestiona
guardando	guarda
identificando	identifica
imaginando	imagina
impidiendo	impide
investigando	investiga
involucrando	involucra
limitando	limita
llevando	lleva
manejando	maneja
mejorando	mejora
mencionando	menciona
obteniendo	obtiene
pasando	pasa
permitiendo	permite
poniendo	pone
produciendo	produce
promoviendo	promueve
proveyendo	provee
revisando	revisa
siendo	es
sufriendo	sufre
superando	supera
teniendo	tiene
volviendo	vuelve
