accedió	accedería
aceleró	aceleraría
acordó	acordaría
actuó	actuaría
adquirió	adquiriría
alentó	alentaría
causó	causaría
concluyó	concluiría
confirmó	confirmaría
conservó	conservaría
contuvo	contendría
cooperó	cooperaría
creó	crearía
definió	definiría
destacó	destacaría
dirigió	dirigiría
existió	existiría
facilitó	facilitaría
falló	fallaría
financió	financiaría
ganó	ganaría
instaló	instalaría
integró	integraría
involucró	involucraría
mantuvo	mantendría
midió	mediría
participó	participaría
pidió	pediría
prestó	prestaría
produjo	produciría
quedó	quedaría
recordó	recordaría
redujo	reduciría
reemplazó	reemplazaría
requirió	requeriría
respetó	respetaría
respondió	respondería
revisó	revisaría
robó	robaría
supo	sabría
sacó	sacaría
salió	saldría
solicitó	solicitaría
terminó	terminaría
tomó	tomaría
unió	uniría
usó	usaría
utilizó	utilizaría
vino	vendría
viajó	viajaría
