abandonan	abandonaban
aprueban	aprobaban
aseguran	aseguraban
atraen	atraían
aumentan	aumentaban
avanzan	avanzaban
caen	caían
compran	compraban
construyen	construían
cuentan	contaban
convierten	convertían
coordinan	coordinaban
crecen	crecían
cubren	cubrían
cumplen	cumplían
defienden	defendían
descargan	descargaban
disfrutan	disfrutaban
duermen	dormían
elaboran	elaboraban
eliminan	eliminaban
enfrentan	enfrentaban
enseñan	enseñaban
escriben	escribían
esperan	esperaban
financian	financiaban
ganan	ganaban
generan	generaban
han	habían
incluyen	incluían
intentan	intentaban
introducen	introducían
llaman	llamaban
manejan	manejaban
operan	operaban
pagan	pagaban
participan	participaban
pasan	pasaban
pueden	podían
preguntan	preguntaban
promocionan	promocionaban
recogen	recogían
refieren	referían
representan	representaban
salvan	salvaban
soportan	soportaban
vienen	venían
viajan	viajaban
vuelven	volvían
votan	votaban
