abandonamos	abandonabais
acordamos	acordabais
alcanzamos	alcanzabais
ampliamos	ampliabais
aplicamos	aplicabais
avanzamos	avanzabais
caemos	caíais
cantamos	cantabais
conducimos	conducíais
confiamos	confiabais
consistimos	consistíais
contamos	contabais
controlamos	controlabais
cortamos	cortabais
creemos	creíais
cumplimos	cumplíais
desarrollamos	desarrollabais
designamos	designabais
destacamos	destacabais
escuchamos	escuchabais
estudiamos	estudiabais
evaluamos	evaluabais
formulamos	formulabais
hablamos	hablabais
impedimos	impedíais
implicamos	implicabais
iniciamos	iniciabais
investigamos	investigabais
vamos	ibais
jugamos	jugabais
leemos	leíais
llamamos	llamabais
llegamos	llegabais
localizamos	localizabais
logramos	lograbais
mejoramos	mejorabais
obtenemos	obteníais
ofrecemos	ofrecíais
partimos	partíais
perdemos	perdíais
promocionamos	promocionabais
promovemos	promovíais
reconocemos	reconocíais
regresamos	regresabais
representamos	representabais
salvamos	salvabais
solicitamos	solicitabais
tomamos	tomabais
vemos	veíais
volamos	volabais
