acelera	acelerarían
acepta	aceptarían
agradece	agradecerían
amplía	ampliarían
aparece	aparecerían
aprueba	aprobarían
atrae	atraerían
baila	bailarían
cae	caerían
causa	causarían
completa	completarían
comprende	comprenderían
confía	confiarían
consiste	consistirían
consulta	consultarían
controla	controlarían
coordina	coordinarían
crece	crecerían
dice	dirían
demuestra	demostrarían
descarga	descargarían
detiene	detendrían
dirige	dirigirían
disfruta	disfrutarían
ejerce	ejercerían
entra	entrarían
evalúa	evaluarían
forma	formarían
formula	formularían
gestiona	gestionarían
guarda	guardarían
implica	implicarían
informa	informarían
inicia	iniciarían
instala	instalarían
lee	leerían
llega	llegarían
lleva	llevarían
maneja	manejarían
mueve	moverían
necesita	necesitarían
observa	observarían
parece	parecerían
recibe	recibirían
reconoce	reconocerían
soporta	soportarían
supera	superarían
toma	tomarían
trabaja	trabajarían
vuelve	volverían
