abrías	abrían
alcanzabas	alcanzaban
animabas	animaban
aplicabas	aplicaban
aprendías	aprendían
asumías	asumían
atendías	atendían
bebías	bebían
comprendías	comprendían
consistías	consistían
continuabas	continuaban
convertías	convertían
creabas	creaban
dejabas	dejaban
destacabas	destacaban
detenías	detenían
determinabas	determinaban
discutías	discutían
elegías	elegían
enfrentabas	enfrentaban
enseñabas	enseñaban
enviabas	enviaban
facilitabas	facilitaban
formulabas	formulaban
incluías	incluían
incorporabas	incorporaban
incrementabas	incrementaban
instalabas	instalaban
integrabas	integraban
llamabas	llamaban
localizabas	localizaban
luchabas	luchaban
manejabas	manejaban
oías	oían
partías	partían
pasabas	pasaban
pedías	pedían
preguntabas	preguntaban
preparabas	preparaban
proveías	proveían
reconocías	reconocían
reemplazabas	reemplazaban
requerías	requerían
satisfacías	satisfacían
sentías	sentían
sobrevivías	sobrevivían
solicitabas	solicitaban
tomabas	tomaban
utilizabas	utilizaban
viajabas	viajaban
