abandonan	abandonaríais
abordan	abordaríais
alcanzan	alcanzaríais
amplían	ampliaríais
apoyan	apoyaríais
añaden	añadiríais
cantan	cantaríais
casan	casaríais
comprenden	comprenderíais
concluyen	concluiríais
conducen	conduciríais
consideran	consideraríais
contienen	contendríais
continúan	continuaríais
coordinan	coordinaríais
cortan	cortaríais
dicen	diríais
dependen	dependeríais
descubren	descubriríais
duermen	dormiríais
eligen	elegiríais
eliminan	eliminaríais
empiezan	empezaríais
evalúan	evaluaríais
facilitan	facilitaríais
fomentan	fomentaríais
forman	formaríais
funcionan	funcionaríais
integran	integraríais
logran	lograríais
miden	mediríais
mejoran	mejoraríais
necesitan	necesitaríais
ofrecen	ofreceríais
oyen	oiríais
paran	pararíais
piensan	pensaríais
pierden	perderíais
producen	produciríais
proponen	propondríais
publican	publicaríais
responden	responderíais
roban	robaríais
saben	sabríais
salvan	salvaríais
satisfacen	satisfaríais
toman	tomaríais
tratan	trataríais
verifican	verificaríais
viajan	viajaríais
