actúa	actuarías
agradece	agradecerías
aplica	aplicarías
apoya	apoyarías
ayuda	ayudarías
busca	buscarías
completa	completarías
confía	confiarías
confirma	confirmarías
continúa	continuarías
coordina	coordinarías
crece	crecerías
cuida	cuidarías
descubre	descubrirías
duerme	dormirías
elabora	elaborarías
escribe	escribirías
existe	existirías
falla	fallarías
forma	formarías
genera	generarías
gestiona	gestionarías
impide	impedirías
impone	impondrías
indica	indicarías
instala	instalarías
integra	integrarías
intenta	intentarías
mide	medirías
mira	mirarías
permite	permitirías
presta	prestarías
publica	publicarías
queda	quedarías
realiza	realizarías
reduce	reducirías
reemplaza	reemplazarías
rompe	romperías
sabe	sabrías
saca	sacarías
sienta	sentarías
soporta	soportarías
supera	superarías
tiene	tendrías
trabaja	trabajarías
trae	traerías
trata	tratarías
vende	venderías
vive	vivirías
vuelve	volverías
