accedía	accedió
adoptaba	adoptó
alcanzaba	alcanzó
aplicaba	aplicó
apoyaba	apoyó
cambiaba	cambió
compartía	compartió
confiaba	confió
conseguía	consiguió
consolidaba	consolidó
consultaba	consultó
cuidaba	cuidó
desarrollaba	desarrolló
descargaba	descargó
elaboraba	elaboró
encontraba	encontró
entraba	entró
escribía	escribió
estudiaba	estudió
exploraba	exploró
financiaba	financió
fomentaba	fomentó
formulaba	formuló
ganaba	ganó
gestionaba	gestionó
impedía	impidió
indicaba	indicó
iniciaba	inició
integraba	integró
intentaba	intentó
introducía	introdujo
jugaba	jugó
leía	leyó
luchaba	luchó
modificaba	modificó
oía	oyó
paraba	paró
ponía	puso
preparaba	preparó
presentaba	presentó
prestaba	prestó
reemplazaba	reemplazó
regresaba	regresó
respetaba	respetó
revisaba	revisó
rompía	rompió
tenía	tuvo
tocaba	tocó
unía	unió
vivía	vivió
