abandonabais	abandonasteis
abríais	abristeis
animabais	animasteis
aprendíais	aprendisteis
ayudabais	ayudasteis
cerrabais	cerrasteis
combatíais	combatisteis
concluíais	concluisteis
conducíais	condujisteis
conocíais	conocisteis
corríais	corristeis
creíais	creísteis
cuidabais	cuidasteis
decíais	dijisteis
destacabais	destacasteis
elegíais	elegisteis
empezabais	empezasteis
enfrentabais	enfrentasteis
entrabais	entrasteis
evitabais	evitasteis
existíais	exististeis
facilitabais	facilitasteis
formabais	formasteis
generabais	generasteis
habilitabais	habilitasteis
identificabais	identificasteis
incluíais	incluisteis
introducíais	introdujisteis
invertíais	invertisteis
ibais	fuisteis
matabais	matasteis
mejorabais	mejorasteis
mirabais	mirasteis
moríais	moristeis
parecíais	parecisteis
pasabais	pasasteis
pedíais	pedisteis
permanecíais	permanecisteis
podíais	pudisteis
preparabais	preparasteis
recibíais	recibisteis
relacionabais	relacionasteis
respondíais	respondisteis
solicitabais	solicitasteis
tomabais	tomasteis
trabajabais	trabajasteis
tratabais	tratasteis
uníais	unisteis
veníais	vinisteis
votabais	votasteis
