analizarán	analizaría
aparecerán	aparecería
asistirán	asistiría
asumirán	asumiría
avanzarán	avanzaría
cambiarán	cambiaría
causarán	causaría
comprarán	compraría
confiarán	confiaría
confirmarán	confirmaría
conseguirán	conseguiría
consultarán	consultaría
contendrán	contendría
cooperarán	cooperaría
creerán	creería
demostrarán	demostraría
dependerán	dependería
destacarán	destacaría
detendrán	detendría
determinarán	determinaría
ejecutarán	ejecutaría
eliminarán	eliminaría
enseñarán	enseñaría
escribirán	escribiría
examinarán	examinaría
explicarán	explicaría
gestionarán	gestionaría
hablarán	hablaría
identificarán	identificaría
incluirán	incluiría
jugarán	jugaría
llorarán	lloraría
medirán	mediría
mirarán	miraría
mostrarán	mostraría
observarán	observaría
obtendrán	obtendría
ocurrirán	ocurriría
ofrecerán	ofrecería
permitirán	permitiría
preguntarán	preguntaría
producirán	produciría
propondrán	propondría
protegerán	protegería
reemplazarán	reemplazaría
responderán	respondería
salvarán	salvaría
supervisarán	supervisaría
venderán	vendería
volverán	volvería
