actuando	actúan
agradeciendo	agradecen
apareciendo	aparecen
atrayendo	atraen
cantando	cantan
comiendo	comen
conservando	conservan
considerando	consideran
continuando	continúan
cortando	cortan
cumpliendo	cumplen
decidiendo	deciden
dependiendo	dependen
describiendo	describen
designando	designan
deteniendo	detienen
ejecutando	ejecutan
eligiendo	eligen
entrando	entran
escapando	escapan
estando	están
explicando	explican
expresando	expresan
financiando	financian
garantizando	garantizan
identificando	identifican
implicando	implican
incrementando	incrementan
intentando	intentan
yendo	van
llamando	llaman
manejando	manejan
manteniendo	mantienen
olvidando	olvidan
partiendo	parten
previniendo	previenen
realizando	realizan
refiriendo	refieren
requiriendo	requieren
salvando	salvan
sintiendo	sienten
solicitando	solicitan
sufriendo	sufren
sumando	suman
trabajando	trabajan
trayendo	traen
vendiendo	venden
viniendo	vienen
volando	vuelan
votando	votan
