abordará	abordaría
abrirá	abriría
agradecerá	agradecería
alcanzará	alcanzaría
ampliará	ampliaría
anunciará	anunciaría
atraerá	atraería
averiguará	averiguaría
beberá	bebería
celebrará	celebraría
combatirá	combatiría
comprenderá	comprendería
consistirá	consistiría
consultará	consultaría
correrá	correría
crecerá	crecería
definirá	definiría
dejará	dejaría
dependerá	dependería
descargará	descargaría
designará	designaría
destacará	destacaría
escuchará	escucharía
esperará	esperaría
existirá	existiría
expresará	expresaría
habrá	habría
imaginará	imaginaría
impondrá	impondría
integrará	integraría
limitará	limitaría
llorará	lloraría
matará	mataría
mejorará	mejoraría
mostrará	mostraría
necesitará	necesitaría
organizará	organizaría
pagará	pagaría
parecerá	parecería
preparará	prepararía
promoverá	promovería
protegerá	protegería
recordará	recordaría
reemplazará	reemplazaría
referirá	referiría
seguirá	seguiría
sobrevivirá	sobreviviría
sufrirá	sufriría
utilizará	utilizaría
vendrá	vendría
