analizaremos	analizarían
apareceremos	aparecerían
aseguraremos	asegurarían
atraeremos	atraerían
añadiremos	añadirían
beberemos	beberían
casaremos	casarían
comprenderemos	comprenderían
conduciremos	conducirían
conoceremos	conocerían
consideraremos	considerarían
descubriremos	descubrirían
detendremos	detendrían
discutiremos	discutirían
ejecutaremos	ejecutarían
ejerceremos	ejercerían
escribiremos	escribirían
estableceremos	establecerían
evadiremos	evadirían
examinaremos	examinarían
fomentaremos	fomentarían
ganaremos	ganarían
hablaremos	hablarían
haremos	harían
identificaremos	identificarían
instalaremos	instalarían
integraremos	integrarían
invertiremos	invertirían
investigaremos	investigarían
mantendremos	mantendrían
mejoraremos	mejorarían
mostraremos	mostrarían
moveremos	moverían
necesitaremos	necesitarían
ocurriremos	ocurrirían
preguntaremos	preguntarían
presentaremos	presentarían
prevendremos	prevendrían
produciremos	producirían
proveeremos	proveerían
realizaremos	realizarían
recordaremos	recordarían
recuperaremos	recuperarían
relacionaremos	relacionarían
robaremos	robarían
romperemos	romperían
seguiremos	seguirían
seleccionaremos	seleccionarían
soportaremos	soportarían
visitaremos	visitarían
