aplicamos	aplican
aseguramos	aseguran
asistimos	asisten
atraemos	atraen
aumentamos	aumentan
añadimos	añaden
compartimos	comparten
comprendemos	comprenden
confirmamos	confirman
contamos	cuentan
cooperamos	cooperan
cuidamos	cuidan
dejamos	dejan
demostramos	demuestran
disfrutamos	disfrutan
enviamos	envían
escapamos	escapan
estamos	están
financiamos	financian
gastamos	gastan
imaginamos	imaginan
imponemos	imponen
incluimos	incluyen
intentamos	intentan
leemos	leen
morimos	mueren
observamos	observan
ocurrimos	ocurren
ofrecemos	ofrecen
parecemos	parecen
pensamos	piensan
permanecemos	permanecen
podemos	pueden
ponemos	ponen
preguntamos	preguntan
preparamos	preparan
prestamos	prestan
promocionamos	promocionan
quedamos	quedan
reconocemos	reconocen
revisamos	revisan
seleccionamos	seleccionan
sumamos	suman
tenemos	tienen
tomamos	toman
vendemos	venden
vemos	ven
viajamos	viajan
vivimos	viven
volvemos	vuelven
