administró	administraríamos
agradeció	agradeceríamos
aplicó	aplicaríamos
aprovechó	aprovecharíamos
asistió	asistiríamos
cambió	cambiaríamos
comenzó	comenzaríamos
contó	contaríamos
contribuyó	contribuiríamos
coordinó	coordinaríamos
cortó	cortaríamos
creyó	creeríamos
dio	daríamos
decidió	decidiríamos
dejó	dejaríamos
descargó	descargaríamos
determinó	determinaríamos
ejecutó	ejecutaríamos
ejerció	ejerceríamos
entró	entraríamos
envió	enviaríamos
evadió	evadiríamos
examinó	examinaríamos
falló	fallaríamos
formuló	formularíamos
generó	generaríamos
hizo	haríamos
identificó	identificaríamos
impuso	impondríamos
informó	informaríamos
involucró	involucraríamos
limpió	limpiaríamos
llamó	llamaríamos
logró	lograríamos
mejoró	mejoraríamos
miró	miraríamos
necesitó	necesitaríamos
ofreció	ofreceríamos
pasó	pasaríamos
proporcionó	proporcionaríamos
recuperó	recuperaríamos
refirió	referiríamos
revisó	revisaríamos
rompió	romperíamos
sufrió	sufriríamos
trajo	traeríamos
usó	usaríamos
verificó	verificaríamos
vivió	viviríamos
votó	votaríamos
