accedéis	accederíamos
adquirís	adquiriríamos
analizáis	analizaríamos
aplicáis	aplicaríamos
asistís	asistiríamos
camináis	caminaríamos
concluís	concluiríamos
conducís	conduciríamos
consideráis	consideraríamos
consolidáis	consolidaríamos
contáis	contaríamos
cooperáis	cooperaríamos
coordináis	coordinaríamos
cortáis	cortaríamos
creéis	creeríamos
cuidáis	cuidaríamos
cumplís	cumpliríamos
dependéis	dependeríamos
descargáis	descargaríamos
describís	describiríamos
descubrís	descubriríamos
destacáis	destacaríamos
ejecutáis	ejecutaríamos
ejercéis	ejerceríamos
escribís	escribiríamos
habláis	hablaríamos
hacéis	haríamos
imagináis	imaginaríamos
impedís	impediríamos
implicáis	implicaríamos
imponéis	impondríamos
introducís	introduciríamos
investigáis	investigaríamos
involucráis	involucraríamos
vais	iríamos
limitáis	limitaríamos
limpiáis	limpiaríamos
mencionáis	mencionaríamos
morís	moriríamos
parecéis	pareceríamos
participáis	participaríamos
podéis	podríamos
preparáis	prepararíamos
reemplazáis	reemplazaríamos
reforzáis	reforzaríamos
regresáis	regresaríamos
revisáis	revisaríamos
sois	seríamos
tomáis	tomaríamos
tratáis	trataríamos
