agradece	agradecimos
alcanza	alcanzamos
aprende	aprendimos
aprueba	aprobamos
aumenta	aumentamos
añade	añadimos
busca	buscamos
cae	caímos
cambia	cambiamos
canta	cantamos
casa	casamos
consolida	consolidamos
consulta	consultamos
controla	controlamos
convierte	convertimos
coordina	coordinamos
corre	corrimos
cubre	cubrimos
deja	dejamos
descubre	descubrimos
desempeña	desempeñamos
detiene	detuvimos
disfruta	disfrutamos
elige	elegimos
estudia	estudiamos
financia	financiamos
gasta	gastamos
gestiona	gestionamos
guarda	guardamos
imagina	imaginamos
informa	informamos
integra	integramos
involucra	involucramos
mantiene	mantuvimos
muere	morimos
organiza	organizamos
participa	participamos
parte	partimos
puede	pudimos
previene	previnimos
produce	produjimos
representa	representamos
saca	sacamos
salva	salvamos
sienta	sentamos
solicita	solicitamos
sufre	sufrimos
ve	vimos
visita	visitamos
vuela	volamos
