abordaba	abordabas
accedía	accedías
actuaba	actuabas
anunciaba	anunciabas
aparecía	aparecías
casaba	casabas
compartía	compartías
completaba	completabas
compraba	comprabas
concluía	concluías
confiaba	confiabas
conservaba	conservabas
construía	construías
coordinaba	coordinabas
creaba	creabas
desarrollaba	desarrollabas
descargaba	descargabas
dormía	dormías
establecía	establecías
evadía	evadías
fallaba	fallabas
financiaba	financiabas
fortalecía	fortalecías
impedía	impedías
indicaba	indicabas
informaba	informabas
iniciaba	iniciabas
involucraba	involucrabas
localizaba	localizabas
mataba	matabas
mencionaba	mencionabas
miraba	mirabas
olvidaba	olvidabas
oía	oías
protegía	protegías
quedaba	quedabas
recogía	recogías
reconocía	reconocías
recordaba	recordabas
recuperaba	recuperabas
representaba	representabas
respetaba	respetabas
robaba	robabas
salvaba	salvabas
satisfacía	satisfacías
sentaba	sentabas
señalaba	señalabas
tenía	tenías
trataba	tratabas
volaba	volabas
