abandona	abandonaría
aborda	abordaría
acelera	aceleraría
acuerda	acordaría
agradece	agradecería
alienta	alentaría
asegura	aseguraría
asume	asumiría
avanza	avanzaría
bebe	bebería
comparte	compartiría
completa	completaría
confía	confiaría
conoce	conocería
considera	consideraría
corta	cortaría
deja	dejaría
disfruta	disfrutaría
enseña	enseñaría
escapa	escaparía
espera	esperaría
explora	exploraría
falla	fallaría
firma	firmaría
formula	formularía
fortalece	fortalecería
gasta	gastaría
genera	generaría
guarda	guardaría
informa	informaría
invierte	invertiría
juega	jugaría
limpia	limpiaría
lleva	llevaría
mide	mediría
muestra	mostraría
necesita	necesitaría
oye	oiría
parece	parecería
participa	participaría
parte	partiría
recibe	recibiría
resuelve	resolvería
responde	respondería
roba	robaría
satisface	satisfaría
solicita	solicitaría
sugiere	sugeriría
une	uniría
verifica	verificaría
