abandonar	abandonaba
acelerar	aceleraba
adquirir	adquiría
aprender	aprendía
asumir	asumía
bailar	bailaba
buscar	buscaba
caminar	caminaba
combatir	combatía
comprobar	comprobaba
construir	construía
convertir	convertía
coordinar	coordinaba
cumplir	cumplía
describir	describía
descubrir	descubría
destacar	destacaba
eliminar	eliminaba
enfrentar	enfrentaba
entrar	entraba
establecer	establecía
hacer	hacía
identificar	identificaba
implicar	implicaba
informar	informaba
ir	iba
jugar	jugaba
llevar	llevaba
medir	medía
mencionar	mencionaba
organizar	organizaba
parar	paraba
parecer	parecía
pensar	pensaba
permitir	permitía
poner	ponía
proteger	protegía
proveer	proveía
recibir	recibía
recoger	recogía
regresar	regresaba
requerir	requería
romper	rompía
sacar	sacaba
salvar	salvaba
ser	era
sufrir	sufría
superar	superaba
viajar	viajaba
visitar	visitaba
