acelerabas	aceleró
administrabas	administró
alcanzabas	alcanzó
aplicabas	aplicó
atraías	atrajo
bebías	bebió
caminabas	caminó
causabas	causó
comías	comió
completabas	completó
comprendías	comprendió
concluías	concluyó
confirmabas	confirmó
conservabas	conservó
contabas	contó
cooperabas	cooperó
definías	definió
dejabas	dejó
descargabas	descargó
descubrías	descubrió
discutías	discutió
enseñabas	enseñó
enviabas	envió
escuchabas	escuchó
estabas	estuvo
explorabas	exploró
fomentabas	fomentó
funcionabas	funcionó
garantizabas	garantizó
generabas	generó
guardabas	guardó
hacías	hizo
impedías	impidió
imponías	impuso
iniciabas	inició
intentabas	intentó
investigabas	investigó
llegabas	llegó
luchabas	luchó
ocurrías	ocurrió
partías	partió
permitías	permitió
prevenías	previno
promovías	promovió
relacionabas	relacionó
resolvías	resolvió
satisfacías	satisfizo
tenías	tuvo
terminabas	terminó
utilizabas	utilizó
