abandoné	abandonarán
aceleré	acelerarán
bailé	bailarán
combatí	combatirán
completé	completarán
concluí	concluirán
consistí	consistirán
contribuí	contribuirán
desarrollé	desarrollarán
describí	describirán
disfruté	disfrutarán
ejecuté	ejecutarán
elegí	elegirán
enfrenté	enfrentarán
escuché	escucharán
estudié	estudiarán
evadí	evadirán
facilité	facilitarán
financié	financiarán
funcioné	funcionarán
gestioné	gestionarán
hablé	hablarán
impuse	impondrán
investigué	investigarán
leí	leerán
llevé	llevarán
localicé	localizarán
mantuve	mantendrán
miré	mirarán
obtuve	obtendrán
ofrecí	ofrecerán
participé	participarán
presté	prestarán
protegí	protegerán
proveí	proveerán
reemplacé	reemplazarán
referí	referirán
regresé	regresarán
representé	representarán
respeté	respetarán
revisé	revisarán
supe	sabrán
saqué	sacarán
salí	saldrán
tuve	tendrán
terminé	terminarán
toqué	tocarán
traje	traerán
viajé	viajarán
volví	volverán
