abandonaba	abandonarían
administraba	administrarían
ampliaba	ampliarían
analizaba	analizarían
apoyaba	apoyarían
asistía	asistirían
avanzaba	avanzarían
ayudaba	ayudarían
buscaba	buscarían
cambiaba	cambiarían
cantaba	cantarían
construía	construirían
cortaba	cortarían
creía	creerían
decidía	decidirían
dependía	dependerían
descubría	descubrirían
determinaba	determinarían
dormía	dormirían
ejercía	ejercerían
elegía	elegirían
entendía	entenderían
escuchaba	escucharían
estaba	estarían
evaluaba	evaluarían
firmaba	firmarían
fortalecía	fortalecerían
garantizaba	garantizarían
hablaba	hablarían
hacía	harían
impedía	impedirían
implicaba	implicarían
invertía	invertirían
necesitaba	necesitarían
ocurría	ocurrirían
organizaba	organizarían
permitía	permitirían
ponía	pondrían
promovía	promoverían
quedaba	quedarían
realizaba	realizarían
relacionaba	relacionarían
seleccionaba	seleccionarían
servía	servirían
solicitaba	solicitarían
tenía	tendrían
traía	traerían
unía	unirían
verificaba	verificarían
visitaba	visitarían
