accedió	accederíais
acordó	acordaríais
administró	administraríais
adquirió	adquiriríais
amplió	ampliaríais
analizó	analizaríais
animó	animaríais
apareció	apareceríais
aprobó	aprobaríais
aumentó	aumentaríais
cayó	caeríais
cantó	cantaríais
combatió	combatiríais
comprendió	comprenderíais
condujo	conduciríais
confirmó	confirmaríais
conservó	conservaríais
consideró	consideraríais
consultó	consultaríais
contó	contaríais
coordinó	coordinaríais
desarrolló	desarrollaríais
describió	describiríais
desempeñó	desempeñaríais
ejerció	ejerceríais
eligió	elegiríais
encontró	encontraríais
escapó	escaparíais
explicó	explicaríais
formó	formaríais
habló	hablaríais
incorporó	incorporaríais
invirtió	invertiríais
limpió	limpiaríais
llegó	llegaríais
lloró	lloraríais
mató	mataríais
mencionó	mencionaríais
movió	moveríais
pareció	pareceríais
preguntó	preguntaríais
presentó	presentaríais
produjo	produciríais
propuso	propondríais
protegió	protegeríais
tuvo	tendríais
utilizó	utilizaríais
vendió	venderíais
viajó	viajaríais
voló	volaríais
