abandonaba	abandonarían
aprobaba	aprobarían
asumía	asumirían
atraía	atraerían
ayudaba	ayudarían
buscaba	buscarían
caminaba	caminarían
celebraba	celebrarían
cerraba	cerrarían
compraba	comprarían
conseguía	conseguirían
conservaba	conservarían
construía	construirían
descubría	descubrirían
destacaba	destacarían
discutía	discutirían
dormía	dormirían
esperaba	esperarían
estudiaba	estudiarían
evadía	evadirían
evitaba	evitarían
explicaba	explicarían
fallaba	fallarían
formulaba	formularían
gastaba	gastarían
gestionaba	gestionarían
había	habrían
imaginaba	imaginarían
incrementaba	incrementarían
instalaba	instalarían
investigaba	investigarían
limitaba	limitarían
llegaba	llegarían
localizaba	localizarían
medía	medirían
mejoraba	mejorarían
moría	morirían
pagaba	pagarían
pasaba	pasarían
pedía	pedirían
probaba	probarían
promovía	promoverían
recibía	recibirían
refería	referirían
robaba	robarían
salvaba	salvarían
sufría	sufrirían
terminaba	terminarían
utilizaba	utilizarían
volaba	volarían
