abandonado	abandonaríamos
abierto	abriríamos
accedido	accederíamos
acordado	acordaríamos
animado	animaríamos
apoyado	apoyaríamos
bebido	beberíamos
cantado	cantaríamos
causado	causaríamos
comido	comeríamos
compartido	compartiríamos
confirmado	confirmaríamos
controlado	controlaríamos
coordinado	coordinaríamos
creado	crearíamos
creído	creeríamos
cumplido	cumpliríamos
defendido	defenderíamos
designado	designaríamos
destacado	destacaríamos
elaborado	elaboraríamos
gastado	gastaríamos
habilitado	habilitaríamos
impedido	impediríamos
incorporado	incorporaríamos
intentado	intentaríamos
leído	leeríamos
luchado	lucharíamos
mantenido	mantendríamos
muerto	moriríamos
obtenido	obtendríamos
olvidado	olvidaríamos
partido	partiríamos
pasado	pasaríamos
presentado	presentaríamos
preservado	preservaríamos
recogido	recogeríamos
reconocido	reconoceríamos
relacionado	relacionaríamos
representado	representaríamos
revisado	revisaríamos
salido	saldríamos
solicitado	solicitaríamos
sumado	sumaríamos
terminado	terminaríamos
tocado	tocaríamos
venido	vendríamos
visto	veríamos
vivido	viviríamos
votado	votaríamos
