aceleras/acelerás	acelerarían
apoyas/apoyás	apoyarían
celebras/celebrás	celebrarían
compras/comprás	comprarían
conduces/conducís	conducirían
cuentas/contás	contarían
controlas/controlás	controlarían
cortas/cortás	cortarían
das	darían
dices/decís	dirían
defiendes/defendés	defenderían
defines/definís	definirían
dependes/dependés	dependerían
descargas/descargás	descargarían
ejerces/ejercés	ejercerían
elaboras/elaborás	elaborarían
enfrentas/enfrentás	enfrentarían
escuchas/escuchás	escucharían
estudias/estudiás	estudiarían
evades/evadís	evadirían
evitas/evitás	evitarían
exploras/explorás	explorarían
facilitas/facilitás	facilitarían
fallas/fallás	fallarían
fomentas/fomentás	fomentarían
garantizas/garantizás	garantizarían
guardas/guardás	guardarían
haces/hacés	harían
imaginas/imaginás	imaginarían
impides/impedís	impedirían
incorporas/incorporás	incorporarían
instalas/instalás	instalarían
integras/integrás	integrarían
vas	irían
mides/medís	medirían
operas/operás	operarían
pides/pedís	pedirían
piensas/pensás	pensarían
recuerdas/recordás	recordarían
reduces/reducís	reducirían
refieres/referís	referirían
sigues/seguís	seguirían
soportas/soportás	soportarían
supervisas/supervisás	supervisarían
tomas/tomás	tomarían
tratas/tratás	tratarían
unes/unís	unirían
usas/usás	usarían
ves	verían
vuelves/volvés	volverían
