abríais	abriría
adoptabais	adoptaría
analizabais	analizaría
aprobabais	aprobaría
caíais	caería
casabais	casaría
comprendíais	comprendería
concluíais	concluiría
conocíais	conocería
considerabais	consideraría
consolidabais	consolidaría
construíais	construiría
contabais	contaría
coordinabais	coordinaría
corríais	correría
creabais	crearía
cuidabais	cuidaría
dejabais	dejaría
describíais	describiría
designabais	designaría
deteníais	detendría
dirigíais	dirigiría
esperabais	esperaría
estabais	estaría
ganabais	ganaría
hablabais	hablaría
identificabais	identificaría
intentabais	intentaría
invertíais	invertiría
ibais	iría
limpiabais	limpiaría
llevabais	llevaría
movíais	movería
ofrecíais	ofrecería
pagabais	pagaría
pedíais	pediría
poníais	pondría
recibíais	recibiría
recuperabais	recuperaría
reducíais	reduciría
reemplazabais	reemplazaría
respondíais	respondería
revisabais	revisaría
robabais	robaría
sentabais	sentaría
sumabais	sumaría
supervisabais	supervisaría
tomabais	tomaría
utilizabais	utilizaría
verificabais	verificaría
