aumentó	aumentarán
ayudó	ayudarán
bebió	beberán
casó	casarán
celebró	celebrarán
comenzó	comenzarán
comprendió	comprenderán
concluyó	concluirán
confirmó	confirmarán
conservó	conservarán
continuó	continuarán
creyó	creerán
cuidó	cuidarán
cumplió	cumplirán
dejó	dejarán
desarrolló	desarrollarán
desempeñó	desempeñarán
durmió	dormirán
encontró	encontrarán
enseñó	enseñarán
escribió	escribirán
gestionó	gestionarán
habilitó	habilitarán
hizo	harán
implicó	implicarán
instaló	instalarán
investigó	investigarán
jugó	jugarán
lloró	llorarán
luchó	lucharán
mató	matarán
necesitó	necesitarán
operó	operarán
pareció	parecerán
pidió	pedirán
permaneció	permanecerán
permitió	permitirán
preservó	preservarán
proporcionó	proporcionarán
protegió	protegerán
recibió	recibirán
recordó	recordarán
representó	representarán
requirió	requerirán
salvó	salvarán
seleccionó	seleccionarán
sobrevivió	sobrevivirán
supervisó	supervisarán
utilizó	utilizarán
vio	verán
