administraba	administrarías
aprobaba	aprobarías
aprovechaba	aprovecharías
atraía	atraerías
cantaba	cantarías
celebraba	celebrarías
cerraba	cerrarías
combatía	combatirías
comenzaba	comenzarías
completaba	completarías
comprobaba	comprobarías
conservaba	conservarías
contaba	contarías
contribuía	contribuirías
corría	correrías
cubría	cubrirías
decía	dirías
destacaba	destacarías
dormía	dormirías
eliminaba	eliminarías
empezaba	empezarías
entendía	entenderías
entraba	entrarías
evaluaba	evaluarías
examinaba	examinarías
expresaba	expresarías
ganaba	ganarías
imaginaba	imaginarías
incorporaba	incorporarías
iniciaba	iniciarías
invertía	invertirías
modificaba	modificarías
paraba	pararías
participaba	participarías
pedía	pedirías
permitía	permitirías
preguntaba	preguntarías
preservaba	preservarías
producía	producirías
recibía	recibirías
reemplazaba	reemplazarías
regresaba	regresarías
requería	requerirías
respetaba	respetarías
sentía	sentirías
sufría	sufrirías
sumaba	sumarías
terminaba	terminarías
traía	traerías
utilizaba	utilizarías
