anuncian	anunciaste
aprueban	aprobaste
aprovechan	aprovechaste
averiguan	averiguaste
celebran	celebraste
completan	completaste
concluyen	concluiste
conducen	condujiste
confirman	confirmaste
conocen	conociste
conservan	conservaste
consisten	consististe
consolidan	consolidaste
consultan	consultaste
contribuyen	contribuiste
convierten	convertiste
cooperan	cooperaste
dan	diste
designan	designaste
empiezan	empezaste
entran	entraste
escapan	escapaste
firman	firmaste
forman	formaste
informan	informaste
integran	integraste
intentan	intentaste
investigan	investigaste
limpian	limpiaste
localizan	localizaste
miden	mediste
mencionan	mencionaste
miran	miraste
muestran	mostraste
necesitan	necesitaste
obtienen	obtuviste
olvidan	olvidaste
paran	paraste
piden	pediste
ponen	pusiste
prestan	prestaste
promueven	promoviste
relacionan	relacionaste
roban	robaste
son	fuiste
unen	uniste
usan	usaste
ven	viste
viajan	viajaste
vuelven	volviste
