aprendemos	aprendería
asistimos	asistiría
atendemos	atendería
cambiamos	cambiaría
causamos	causaría
celebramos	celebraría
comemos	comería
conducimos	conduciría
confirmamos	confirmaría
contenemos	contendría
controlamos	controlaría
creamos	crearía
dejamos	dejaría
desarrollamos	desarrollaría
destacamos	destacaría
ejercemos	ejercería
empezamos	empezaría
encontramos	encontraría
enseñamos	enseñaría
esperamos	esperaría
evitamos	evitaría
existimos	existiría
funcionamos	funcionaría
hemos	habría
habilitamos	habilitaría
hacemos	haría
incrementamos	incrementaría
indicamos	indicaría
informamos	informaría
integramos	integraría
vamos	iría
mantenemos	mantendría
medimos	mediría
mencionamos	mencionaría
modificamos	modificaría
olvidamos	olvidaría
operamos	operaría
pagamos	pagaría
prestamos	prestaría
promocionamos	promocionaría
proveemos	proveería
realizamos	realizaría
recuperamos	recuperaría
relacionamos	relacionaría
requerimos	requeriría
seguimos	seguiría
seleccionamos	seleccionaría
terminamos	terminaría
vemos	vería
viajamos	viajaría
