abriría	abrirían
aceptaría	aceptarían
alcanzaría	alcanzarían
alentaría	alentarían
analizaría	analizarían
ayudaría	ayudarían
buscaría	buscarían
cambiaría	cambiarían
comería	comerían
comprobaría	comprobarían
concluiría	concluirían
confiaría	confiarían
cortaría	cortarían
cumpliría	cumplirían
daría	darían
demostraría	demostrarían
destruiría	destruirían
disfrutaría	disfrutarían
encontraría	encontrarían
escucharía	escucharían
estaría	estarían
estudiaría	estudiarían
evadiría	evadirían
firmaría	firmarían
formularía	formularían
gestionaría	gestionarían
hablaría	hablarían
haría	harían
integraría	integrarían
investigaría	investigarían
localizaría	localizarían
lucharía	lucharían
miraría	mirarían
necesitaría	necesitarían
observaría	observarían
organizaría	organizarían
prepararía	prepararían
prestaría	prestarían
realizaría	realizarían
recogería	recogerían
recuperaría	recuperarían
reduciría	reducirían
representaría	representarían
resolvería	resolverían
rompería	romperían
sabría	sabrían
satisfaría	satisfarían
sentiría	sentirían
solicitaría	solicitarían
verificaría	verificarían
