abandonamos	abandonaba
administramos	administraba
alcanzamos	alcanzaba
aplicamos	aplicaba
asistimos	asistía
asumimos	asumía
ayudamos	ayudaba
bailamos	bailaba
comemos	comía
comprobamos	comprobaba
cortamos	cortaba
definimos	definía
descargamos	descargaba
descubrimos	descubría
determinamos	determinaba
ejecutamos	ejecutaba
enviamos	enviaba
evadimos	evadía
facilitamos	facilitaba
formulamos	formulaba
fortalecemos	fortalecía
incorporamos	incorporaba
indicamos	indicaba
integramos	integraba
involucramos	involucraba
limpiamos	limpiaba
matamos	mataba
modificamos	modificaba
organizamos	organizaba
permitimos	permitía
preguntamos	preguntaba
preparamos	preparaba
probamos	probaba
producimos	producía
promocionamos	promocionaba
proporcionamos	proporcionaba
protegemos	protegía
publicamos	publicaba
recogemos	recogía
reforzamos	reforzaba
robamos	robaba
sacamos	sacaba
seguimos	seguía
seleccionamos	seleccionaba
solicitamos	solicitaba
soportamos	soportaba
sufrimos	sufría
terminamos	terminaba
usamos	usaba
visitamos	visitaba
