abrías	abrirán
acelerabas	acelerarán
aceptabas	aceptarán
administrabas	administrarán
adoptabas	adoptarán
asumías	asumirán
buscabas	buscarán
cerrabas	cerrarán
combatías	combatirán
completabas	completarán
conocías	conocerán
contenías	contendrán
cortabas	cortarán
cubrías	cubrirán
dejabas	dejarán
descargabas	descargarán
descubrías	descubrirán
destacabas	destacarán
determinabas	determinarán
dirigías	dirigirán
enfrentabas	enfrentarán
escuchabas	escucharán
evadías	evadirán
existías	existirán
facilitabas	facilitarán
firmabas	firmarán
gastabas	gastarán
guardabas	guardarán
incorporabas	incorporarán
intentabas	intentarán
introducías	introducirán
luchabas	lucharán
ofrecías	ofrecerán
operabas	operarán
participabas	participarán
permanecías	permanecerán
presentabas	presentarán
prevenías	prevendrán
proponías	propondrán
recuperabas	recuperarán
reducías	reducirán
regresabas	regresarán
seleccionabas	seleccionarán
servías	servirán
sobrevivías	sobrevivirán
sugerías	sugerirán
sumabas	sumarán
superabas	superarán
venías	vendrán
visitabas	visitarán
