accederán	accedería
actuarán	actuaría
agradecerán	agradecería
aprenderán	aprendería
atraerán	atraería
bailarán	bailaría
casarán	casaría
comenzarán	comenzaría
comprarán	compraría
comprenderán	comprendería
confiarán	confiaría
consistirán	consistiría
construirán	construiría
contarán	contaría
controlarán	controlaría
dejarán	dejaría
demostrarán	demostraría
descargarán	descargaría
descubrirán	descubriría
desempeñarán	desempeñaría
elaborarán	elaboraría
elegirán	elegiría
enseñarán	enseñaría
financiarán	financiaría
firmarán	firmaría
funcionarán	funcionaría
ganarán	ganaría
incrementarán	incrementaría
indicarán	indicaría
intentarán	intentaría
investigarán	investigaría
irán	iría
llegarán	llegaría
manejarán	manejaría
necesitarán	necesitaría
organizarán	organizaría
pararán	pararía
permanecerán	permanecería
publicarán	publicaría
realizarán	realizaría
reemplazarán	reemplazaría
regresarán	regresaría
relacionarán	relacionaría
respetarán	respetaría
revisarán	revisaría
sacarán	sacaría
seleccionarán	seleccionaría
serán	sería
terminarán	terminaría
usarán	usaría
