aliento	alentará
analizo	analizará
aprovecho	aprovechará
caigo	caerá
causo	causará
comienzo	comenzará
compruebo	comprobará
concluyo	concluirá
consigo	conseguirá
contengo	contendrá
creo	creará
doy	dará
desarrollo	desarrollará
destaco	destacará
detengo	detendrá
empiezo	empezará
enseño	enseñará
escapo	escapará
estoy	estará
estudio	estudiará
existo	existirá
explico	explicará
expreso	expresará
fallo	fallará
funciono	funcionará
gano	ganará
gestiono	gestionará
guardo	guardará
imagino	imaginará
instalo	instalará
juego	jugará
llamo	llamará
lloro	llorará
menciono	mencionará
modifico	modificará
observo	observará
olvido	olvidará
paro	parará
pongo	pondrá
propongo	propondrá
proporciono	proporcionará
recuerdo	recordará
recupero	recuperará
reduzco	reducirá
sobrevivo	sobrevivirá
soporto	soportará
supero	superará
superviso	supervisará
verifico	verificará
vuelvo	volverá
