abordará	abordaremos
acordará	acordaremos
aparecerá	apareceremos
atenderá	atenderemos
ayudará	ayudaremos
cambiará	cambiaremos
cantará	cantaremos
causará	causaremos
completará	completaremos
confiará	confiaremos
confirmará	confirmaremos
consultará	consultaremos
contendrá	contendremos
continuará	continuaremos
controlará	controlaremos
convertirá	convertiremos
crecerá	creceremos
dejará	dejaremos
desarrollará	desarrollaremos
descubrirá	descubriremos
empezará	empezaremos
encontrará	encontraremos
escuchará	escucharemos
esperará	esperaremos
establecerá	estableceremos
estará	estaremos
evitará	evitaremos
fallará	fallaremos
funcionará	funcionaremos
identificará	identificaremos
incorporará	incorporaremos
iniciará	iniciaremos
investigará	investigaremos
localizará	localizaremos
mostrará	mostraremos
obtendrá	obtendremos
pagará	pagaremos
parecerá	pareceremos
perderá	perderemos
probará	probaremos
producirá	produciremos
reemplazará	reemplazaremos
resolverá	resolveremos
sentará	sentaremos
solicitará	solicitaremos
tendrá	tendremos
tocará	tocaremos
trabajará	trabajaremos
verificará	verificaremos
visitará	visitaremos
