aceptan	aceptarán
adoptan	adoptarán
apoyan	apoyarán
aprueban	aprobarán
atienden	atenderán
avanzan	avanzarán
averiguan	averiguarán
buscan	buscarán
celebran	celebrarán
concluyen	concluirán
consiguen	conseguirán
contienen	contendrán
contribuyen	contribuirán
coordinan	coordinarán
crecen	crecerán
creen	creerán
demuestran	demostrarán
dependen	dependerán
elaboran	elaborarán
entienden	entenderán
escuchan	escucharán
evalúan	evaluarán
examinan	examinarán
facilitan	facilitarán
financian	financiarán
guardan	guardarán
habilitan	habilitarán
hablan	hablarán
instalan	instalarán
involucran	involucrarán
llevan	llevarán
logran	lograrán
ocurren	ocurrirán
olvidan	olvidarán
preservan	preservarán
producen	producirán
recuperan	recuperarán
representan	representarán
resuelven	resolverán
responden	responderán
roban	robarán
salvan	salvarán
siguen	seguirán
sufren	sufrirán
suman	sumarán
trabajan	trabajarán
usan	usarán
ven	verán
viajan	viajarán
visitan	visitarán
