abrimos	abrías
accedemos	accedías
adquirimos	adquirías
aparecemos	aparecías
atraemos	atraías
cambiamos	cambiabas
causamos	causabas
comprendemos	comprendías
concluimos	concluías
conocemos	conocías
convertimos	convertías
cuidamos	cuidabas
dejamos	dejabas
descargamos	descargabas
designamos	designabas
dormimos	dormías
elegimos	elegías
empezamos	empezabas
expresamos	expresabas
formamos	formabas
fortalecemos	fortalecías
generamos	generabas
guardamos	guardabas
habilitamos	habilitabas
hacemos	hacías
intentamos	intentabas
introducimos	introducías
limitamos	limitabas
llegamos	llegabas
movemos	movías
ocurrimos	ocurrías
ofrecemos	ofrecías
olvidamos	olvidabas
pagamos	pagabas
paramos	parabas
partimos	partías
pensamos	pensabas
permanecemos	permanecías
permitimos	permitías
publicamos	publicabas
recibimos	recibías
regresamos	regresabas
respondemos	respondías
sentamos	sentabas
solicitamos	solicitabas
sufrimos	sufrías
sugerimos	sugerías
tenemos	tenías
vendemos	vendías
viajamos	viajabas
