abordaban	abordé
accedían	accedí
adquirían	adquirí
alcanzaban	alcancé
animaban	animé
anunciaban	anuncié
atendían	atendí
caían	caí
cambiaban	cambié
celebraban	celebré
comprobaban	comprobé
construían	construí
cooperaban	cooperé
coordinaban	coordiné
decían	dije
describían	describí
destruían	destruí
determinaban	determiné
entendían	entendí
enviaban	envié
evadían	evadí
evitaban	evité
examinaban	examiné
fomentaban	fomenté
formaban	formé
guardaban	guardé
habían	hube
incluían	incluí
informaban	informé
introducían	introduje
limitaban	limité
lloraban	lloré
mantenían	mantuve
medían	medí
obtenían	obtuve
ofrecían	ofrecí
oían	oí
pagaban	pagué
probaban	probé
proporcionaban	proporcioné
proveían	proveí
quedaban	quedé
requerían	requerí
rompían	rompí
superaban	superé
supervisaban	supervisé
unían	uní
veían	vi
volvían	volví
votaban	voté
