abordado	abordaría
acordado	acordaría
alcanzado	alcanzaría
apoyado	apoyaría
aumentado	aumentaría
añadido	añadiría
causado	causaría
cerrado	cerraría
concluido	concluiría
confiado	confiaría
conservado	conservaría
considerado	consideraría
consultado	consultaría
contado	contaría
contenido	contendría
creado	crearía
cuidado	cuidaría
desempeñado	desempeñaría
ejercido	ejercería
eliminado	eliminaría
enviado	enviaría
fomentado	fomentaría
habido	habría
hablado	hablaría
implicado	implicaría
iniciado	iniciaría
instalado	instalaría
investigado	investigaría
limpiado	limpiaría
logrado	lograría
mirado	miraría
ocurrido	ocurriría
presentado	presentaría
propuesto	propondría
proporcionado	proporcionaría
proveído,provisto	proveería
respondido	respondería
robado	robaría
salvado	salvaría
seguido	seguiría
sentado	sentaría
sido	sería
servido	serviría
sufrido	sufriría
sumado	sumaría
superado	superaría
tocado	tocaría
trabajado	trabajaría
visto	vería
vivido	viviría
