abandonaba	abandonaría
aceleraba	aceleraría
alentaba	alentaría
ampliaba	ampliaría
apoyaba	apoyaría
aprovechaba	aprovecharía
asistía	asistiría
cambiaba	cambiaría
comía	comería
comprendía	comprendería
confirmaba	confirmaría
conocía	conocería
cortaba	cortaría
demostraba	demostraría
destacaba	destacaría
dirigía	dirigiría
encontraba	encontraría
facilitaba	facilitaría
garantizaba	garantizaría
gastaba	gastaría
hacía	haría
imaginaba	imaginaría
imponía	impondría
incrementaba	incrementaría
indicaba	indicaría
instalaba	instalaría
introducía	introduciría
jugaba	jugaría
llevaba	llevaría
medía	mediría
moría	moriría
obtenía	obtendría
operaba	operaría
oía	oiría
paraba	pararía
parecía	parecería
protegía	protegería
recibía	recibiría
refería	referiría
regresaba	regresaría
requería	requeriría
resolvía	resolvería
robaba	robaría
sacaba	sacaría
servía	serviría
supervisaba	supervisaría
tenía	tendría
traía	traería
unía	uniría
vendía	vendería
