aceptar	aceptamos
adquirir	adquirimos
animar	animamos
anunciar	anunciamos
aparecer	aparecimos
aprobar	aprobamos
aumentar	aumentamos
beber	bebimos
buscar	buscamos
concluir	concluimos
contribuir	contribuimos
controlar	controlamos
coordinar	coordinamos
correr	corrimos
crecer	crecimos
cuidar	cuidamos
cumplir	cumplimos
determinar	determinamos
disfrutar	disfrutamos
dormir	dormimos
escapar	escapamos
evaluar	evaluamos
explorar	exploramos
funcionar	funcionamos
hablar	hablamos
incrementar	incrementamos
jugar	jugamos
luchar	luchamos
mejorar	mejoramos
ofrecer	ofrecimos
organizar	organizamos
pensar	pensamos
perder	perdimos
publicar	publicamos
quedar	quedamos
recibir	recibimos
recordar	recordamos
recuperar	recuperamos
representar	representamos
respetar	respetamos
responder	respondimos
revisar	revisamos
saber	supimos
sacar	sacamos
salir	salimos
sobrevivir	sobrevivimos
sugerir	sugerimos
tocar	tocamos
tomar	tomamos
ver	vimos
