abrimos	abrían
actuamos	actuaban
agradecemos	agradecían
analizamos	analizaban
aparecemos	aparecían
apoyamos	apoyaban
aprovechamos	aprovechaban
aseguramos	aseguraban
asistimos	asistían
ayudamos	ayudaban
buscamos	buscaban
comenzamos	comenzaban
compartimos	compartían
comprendemos	comprendían
decidimos	decidían
definimos	definían
dejamos	dejaban
designamos	designaban
destruimos	destruían
detenemos	detenían
disfrutamos	disfrutaban
ejercemos	ejercían
enfrentamos	enfrentaban
entendemos	entendían
entramos	entraban
escribimos	escribían
evitamos	evitaban
exploramos	exploraban
expresamos	expresaban
facilitamos	facilitaban
financiamos	financiaban
firmamos	firmaban
imaginamos	imaginaban
informamos	informaban
introducimos	introducían
limitamos	limitaban
llegamos	llegaban
llevamos	llevaban
mejoramos	mejoraban
movemos	movían
parecemos	parecían
pasamos	pasaban
pensamos	pensaban
ponemos	ponían
probamos	probaban
recordamos	recordaban
reducimos	reducían
seguimos	seguían
somos	eran
votamos	votaban
