acceden	accederemos
adoptan	adoptaremos
anuncian	anunciaremos
aprovechan	aprovecharemos
atienden	atenderemos
atraen	atraeremos
caminan	caminaremos
cierran	cerraremos
compran	compraremos
confirman	confirmaremos
conocen	conoceremos
consisten	consistiremos
continúan	continuaremos
cubren	cubriremos
deciden	decidiremos
determinan	determinaremos
ejercen	ejerceremos
elaboran	elaboraremos
envían	enviaremos
evaden	evadiremos
fomentan	fomentaremos
ganan	ganaremos
generan	generaremos
gestionan	gestionaremos
incluyen	incluiremos
indican	indicaremos
integran	integraremos
introducen	introduciremos
investigan	investigaremos
van	iremos
lloran	lloraremos
manejan	manejaremos
matan	mataremos
necesitan	necesitaremos
ocurren	ocurriremos
ofrecen	ofreceremos
organizan	organizaremos
pierden	perderemos
promueven	promoveremos
proveen	proveeremos
refieren	referiremos
representan	representaremos
revisan	revisaremos
sirven	serviremos
sugieren	sugeriremos
suman	sumaremos
trabajan	trabajaremos
tratan	trataremos
vienen	vendremos
viajan	viajaremos
