abierto	abrí
accedido	accedí
acordado	acordé
adoptado	adopté
alcanzado	alcancé
alentado	alenté
animado	animé
aprendido	aprendí
asegurado	aseguré
asumido	asumí
aumentado	aumenté
bebido	bebí
cambiado	cambié
compartido	compartí
concluido	concluí
conocido	conocí
construido	construí
controlado	controlé
cooperado	cooperé
coordinado	coordiné
cumplido	cumplí
dado	di
decidido	decidí
defendido	defendí
descubierto	descubrí
detenido	detuve
existido	existí
funcionado	funcioné
habido	hube
hablado	hablé
integrado	integré
involucrado	involucré
jugado	jugué
leído	leí
llegado	llegué
mantenido	mantuve
medido	medí
mencionado	mencioné
modificado	modifiqué
parado	paré
partido	partí
propuesto	propuse
protegido	protegí
recuperado	recuperé
resuelto	resolví
seleccionado	seleccioné
sobrevivido	sobreviví
sumado	sumé
vivido	viví
votado	voté
