accedíais	accederé
acelerabais	aceleraré
asegurabais	aseguraré
atendíais	atenderé
bebíais	beberé
cambiabais	cambiaré
comenzabais	comenzaré
comprobabais	comprobaré
conseguíais	conseguiré
considerabais	consideraré
consultabais	consultaré
conteníais	contendré
continuabais	continuaré
contribuíais	contribuiré
cooperabais	cooperaré
coordinabais	coordinaré
cortabais	cortaré
definíais	definiré
describíais	describiré
dirigíais	dirigiré
discutíais	discutiré
disfrutabais	disfrutaré
ejercíais	ejerceré
entrabais	entraré
escribíais	escribiré
expresabais	expresaré
financiabais	financiaré
firmabais	firmaré
formabais	formaré
gestionabais	gestionaré
habilitabais	habilitaré
incluíais	incluiré
incorporabais	incorporaré
invertíais	invertiré
leíais	leeré
manejabais	manejaré
moríais	moriré
mostrabais	mostraré
necesitabais	necesitaré
operabais	operaré
partíais	partiré
perdíais	perderé
permitíais	permitiré
sabíais	sabré
sacabais	sacaré
sentabais	sentaré
teníais	tendré
tomabais	tomaré
vendíais	venderé
votabais	votaré
