acelerábamos	aceleró
acordábamos	acordó
administrábamos	administró
ampliábamos	amplió
analizábamos	analizó
anunciábamos	anunció
apoyábamos	apoyó
aprovechábamos	aprovechó
asumíamos	asumió
bailábamos	bailó
cambiábamos	cambió
causábamos	causó
cerrábamos	cerró
comprendíamos	comprendió
controlábamos	controló
cuidábamos	cuidó
cumplíamos	cumplió
demostrábamos	demostró
desarrollábamos	desarrolló
dirigíamos	dirigió
entendíamos	entendió
esperábamos	esperó
estábamos	estuvo
evadíamos	evadió
fortalecíamos	fortaleció
guardábamos	guardó
hacíamos	hizo
impedíamos	impidió
indicábamos	indicó
iniciábamos	inició
integrábamos	integró
introducíamos	introdujo
mencionábamos	mencionó
operábamos	operó
permanecíamos	permaneció
permitíamos	permitió
preguntábamos	preguntó
probábamos	probó
reemplazábamos	reemplazó
reforzábamos	reforzó
regresábamos	regresó
respetábamos	respetó
seguíamos	siguió
sobrevivíamos	sobrevivió
sugeríamos	sugirió
sumábamos	sumó
tocábamos	tocó
trabajábamos	trabajó
traíamos	trajo
verificábamos	verificó
