actuaba	actuarán
adquiría	adquirirán
ampliaba	ampliarán
aparecía	aparecerán
aplicaba	aplicarán
aprovechaba	aprovecharán
atendía	atenderán
caía	caerán
cambiaba	cambiarán
celebraba	celebrarán
cerraba	cerrarán
compraba	comprarán
concluía	concluirán
conducía	conducirán
construía	construirán
creaba	crearán
defendía	defenderán
describía	describirán
descubría	descubrirán
designaba	designarán
ejercía	ejercerán
elaboraba	elaborarán
eliminaba	eliminarán
enfrentaba	enfrentarán
existía	existirán
fallaba	fallarán
formulaba	formularán
fortalecía	fortalecerán
garantizaba	garantizarán
instalaba	instalarán
jugaba	jugarán
leía	leerán
limitaba	limitarán
manejaba	manejarán
medía	medirán
miraba	mirarán
obtenía	obtendrán
preparaba	prepararán
preservaba	preservarán
realizaba	realizarán
recibía	recibirán
reemplazaba	reemplazarán
salvaba	salvarán
seguía	seguirán
sentía	sentirán
sobrevivía	sobrevivirán
sumaba	sumarán
terminaba	terminarán
traía	traerán
veía	verán
