accediendo	accedemos
ampliando	ampliamos
aprovechando	aprovechamos
aumentando	aumentamos
averiguando	averiguamos
bailando	bailamos
casando	casamos
comiendo	comemos
consolidando	consolidamos
conteniendo	contenemos
creyendo	creemos
destacando	destacamos
destruyendo	destruimos
deteniendo	detenemos
dirigiendo	dirigimos
ejecutando	ejecutamos
escribiendo	escribimos
esperando	esperamos
estableciendo	establecemos
estudiando	estudiamos
evadiendo	evadimos
explorando	exploramos
garantizando	garantizamos
gestionando	gestionamos
habiendo	hemos
habilitando	habilitamos
identificando	identificamos
iniciando	iniciamos
yendo	vamos
llegando	llegamos
muriendo	morimos
mostrando	mostramos
olvidando	olvidamos
parando	paramos
pareciendo	parecemos
preservando	preservamos
probando	probamos
reduciendo	reducimos
resolviendo	resolvemos
respetando	respetamos
rompiendo	rompemos
saliendo	salimos
sentando	sentamos
sobreviviendo	sobrevivimos
soportando	soportamos
supervisando	supervisamos
teniendo	tenemos
visitando	visitamos
volviendo	volvemos
votando	votamos
