abriendo	abrís
actuando	actuáis
adoptando	adoptáis
alcanzando	alcanzáis
animando	animáis
aplicando	aplicáis
asegurando	aseguráis
asistiendo	asistís
asumiendo	asumís
ayudando	ayudáis
caminando	camináis
casando	casáis
considerando	consideráis
consistiendo	consistís
consultando	consultáis
corriendo	corréis
creciendo	crecéis
definiendo	definís
dependiendo	dependéis
describiendo	describís
descubriendo	descubrís
desempeñando	desempeñáis
destacando	destacáis
disfrutando	disfrutáis
escapando	escapáis
estableciendo	establecéis
estando	estáis
evitando	evitáis
firmando	firmáis
funcionando	funcionáis
gestionando	gestionáis
limitando	limitáis
logrando	lográis
mirando	miráis
muriendo	morís
pareciendo	parecéis
pudiendo	podéis
poniendo	ponéis
preguntando	preguntáis
preparando	preparáis
presentando	presentáis
prestando	prestáis
previniendo	prevenís
reforzando	reforzáis
representando	representáis
sacando	sacáis
seleccionando	seleccionáis
tomando	tomáis
trayendo	traéis
viendo	veis
