aceleras/acelerás	acelerasteis
actúas/actuás	actuasteis
alientas/alentás	alentasteis
aumentas/aumentás	aumentasteis
averiguas/averiguás	averiguasteis
cambias/cambiás	cambiasteis
cantas/cantás	cantasteis
comienzas/comenzás	comenzasteis
comprendes/comprendés	comprendisteis
confías/confiás	confiasteis
confirmas/confirmás	confirmasteis
cuentas/contás	contasteis
creas/creás	creasteis
cuidas/cuidás	cuidasteis
cumples/cumplís	cumplisteis
decides/decidís	decidisteis
diriges/dirigís	dirigisteis
eliminas/eliminás	eliminasteis
enfrentas/enfrentás	enfrentasteis
enseñas/enseñás	enseñasteis
entiendes/entendés	entendisteis
entras/entrás	entrasteis
exploras/explorás	explorasteis
fomentas/fomentás	fomentasteis
funcionas/funcionás	funcionasteis
generas/generás	generasteis
guardas/guardás	guardasteis
instalas/instalás	instalasteis
intentas/intentás	intentasteis
involucras/involucrás	involucrasteis
lees/leés	leísteis
limitas/limitás	limitasteis
llamas/llamás	llamasteis
miras/mirás	mirasteis
obtienes/obtenés	obtuvisteis
ocurres/ocurrís	ocurristeis
organizas/organizás	organizasteis
oyes/oís	oísteis
pasas/pasás	pasasteis
pierdes/perdés	perdisteis
permaneces/permanecés	permanecisteis
prestas/prestás	prestasteis
produces/producís	produjisteis
robas/robás	robasteis
seleccionas/seleccionás	seleccionasteis
señalas/señalás	señalasteis
soportas/soportás	soportasteis
superas/superás	superasteis
utilizas/utilizás	utilizasteis
votas/votás	votasteis
