alcanzaríais	alcanzarían
alentaríais	alentarían
analizaríais	analizarían
anunciaríais	anunciarían
apareceríais	aparecerían
aprobaríais	aprobarían
asistiríais	asistirían
buscaríais	buscarían
cantaríais	cantarían
casaríais	casarían
completaríais	completarían
contaríais	contarían
creeríais	creerían
cuidaríais	cuidarían
decidiríais	decidirían
diríais	dirían
describiríais	describirían
descubriríais	descubrirían
desempeñaríais	desempeñarían
detendríais	detendrían
dormiríais	dormirían
incluiríais	incluirían
incorporaríais	incorporarían
involucraríais	involucrarían
limpiaríais	limpiarían
localizaríais	localizarían
ocurriríais	ocurrirían
ofreceríais	ofrecerían
pareceríais	parecerían
pasaríais	pasarían
podríais	podrían
pondríais	pondrían
preguntaríais	preguntarían
presentaríais	presentarían
propondríais	propondrían
proporcionaríais	proporcionarían
protegeríais	protegerían
recogeríais	recogerían
reduciríais	reducirían
relacionaríais	relacionarían
requeriríais	requerirían
resolveríais	resolverían
seleccionaríais	seleccionarían
serviríais	servirían
sumaríais	sumarían
tendríais	tendrían
trataríais	tratarían
usaríais	usarían
utilizaríais	utilizarían
viviríais	vivirían
