abandona	abandonabas
adquiere	adquirías
agradece	agradecías
alcanza	alcanzabas
aprovecha	aprovechabas
asume	asumías
aumenta	aumentabas
celebra	celebrabas
comienza	comenzabas
consiste	consistías
contiene	contenías
convierte	convertías
coordina	coordinabas
corre	corrías
detiene	detenías
disfruta	disfrutabas
enfrenta	enfrentabas
enseña	enseñabas
evalúa	evaluabas
explora	explorabas
forma	formabas
habilita	habilitabas
habla	hablabas
hace	hacías
incluye	incluías
inicia	iniciabas
instala	instalabas
lee	leías
lleva	llevabas
maneja	manejabas
modifica	modificabas
oye	oías
participa	participabas
pide	pedías
prepara	preparabas
proporciona	proporcionabas
recoge	recogías
reconoce	reconocías
recuerda	recordabas
representa	representabas
roba	robabas
sale	salías
sigue	seguías
sienta	sentabas
sufre	sufrías
toma	tomabas
utiliza	utilizabas
ve	veías
viaja	viajabas
vota	votabas
