administran	administraréis
agradecen	agradeceréis
anuncian	anunciaréis
avanzan	avanzaréis
cantan	cantaréis
casan	casaréis
celebran	celebraréis
comen	comeréis
comprenden	comprenderéis
comprueban	comprobaréis
consideran	consideraréis
consisten	consistiréis
consolidan	consolidaréis
continúan	continuaréis
corren	correréis
crean	crearéis
definen	definiréis
elaboran	elaboraréis
eliminan	eliminaréis
envían	enviaréis
están	estaréis
exploran	exploraréis
fomentan	fomentaréis
formulan	formularéis
generan	generaréis
hacen	haréis
implican	implicaréis
lloran	lloraréis
miden	mediréis
mencionan	mencionaréis
observan	observaréis
ofrecen	ofreceréis
paran	pararéis
permiten	permitiréis
preguntan	preguntaréis
preparan	prepararéis
preservan	preservaréis
prestan	prestaréis
recuerdan	recordaréis
requieren	requeriréis
resuelven	resolveréis
roban	robaréis
rompen	romperéis
salen	saldréis
sufren	sufriréis
superan	superaréis
traen	traeréis
tratan	trataréis
vuelan	volaréis
votan	votaréis
